"LA_code","LA_name","LSOA_code","LSOA_name","y1"
"E07000039","South Derbyshire","E01019833","South Derbyshire 004B","347500"
"E07000039","South Derbyshire","E01019835","South Derbyshire 004D","216000"
"E07000039","South Derbyshire","E01019834","South Derbyshire 004C","226995"
"E07000039","South Derbyshire","E01019832","South Derbyshire 004A","221500"
"E07000039","South Derbyshire","E01019837","South Derbyshire 012A","150000"
"E07000039","South Derbyshire","E01019838","South Derbyshire 012B","106500"
"E07000039","South Derbyshire","E01033537","South Derbyshire 012E","122500"
"E07000039","South Derbyshire","E01019839","South Derbyshire 001A","287000"
"E07000039","South Derbyshire","E01019841","South Derbyshire 002B","332500"
"E07000039","South Derbyshire","E01019840","South Derbyshire 002A","314950"
"E07000039","South Derbyshire","E01019844","South Derbyshire 007A","143000"
"E07000039","South Derbyshire","E01019842","South Derbyshire 013A","128225"
"E07000039","South Derbyshire","E01019843","South Derbyshire 006A","296500"
"E07000039","South Derbyshire","E01019846","South Derbyshire 001C","143750"
"E07000039","South Derbyshire","E01019845","South Derbyshire 001B","160000"
"E07000039","South Derbyshire","E01019848","South Derbyshire 002D","229950"
"E07000039","South Derbyshire","E01019847","South Derbyshire 002C","191000"
"E07000039","South Derbyshire","E01033533","South Derbyshire 002G","212500"
"E07000039","South Derbyshire","E01019851","South Derbyshire 011B","143375"
"E07000039","South Derbyshire","E01019852","South Derbyshire 011C","159500"
"E07000039","South Derbyshire","E01019850","South Derbyshire 011A","324995"
"E07000039","South Derbyshire","E01019854","South Derbyshire 006C","203500"
"E07000039","South Derbyshire","E01019855","South Derbyshire 006D","245000"
"E07000039","South Derbyshire","E01019853","South Derbyshire 006B","205000"
"E07000039","South Derbyshire","E01019860","South Derbyshire 008A","180000"
"E07000039","South Derbyshire","E01019857","South Derbyshire 007C","162475"
"E07000039","South Derbyshire","E01019858","South Derbyshire 007D","120000"
"E07000039","South Derbyshire","E01019859","South Derbyshire 007E","172500"
"E07000039","South Derbyshire","E01019856","South Derbyshire 007B","123500"
"E07000039","South Derbyshire","E01019862","South Derbyshire 008C","158475"
"E07000039","South Derbyshire","E01019865","South Derbyshire 008F","125000"
"E07000039","South Derbyshire","E01019863","South Derbyshire 008D","142000"
"E07000039","South Derbyshire","E01019864","South Derbyshire 008E","125500"
"E07000039","South Derbyshire","E01019861","South Derbyshire 008B","134950"
"E07000039","South Derbyshire","E01019866","South Derbyshire 001D","380000"
"E07000039","South Derbyshire","E01019867","South Derbyshire 005A","297500"
"E07000039","South Derbyshire","E01019868","South Derbyshire 005B","262000"
"E07000039","South Derbyshire","E01019869","South Derbyshire 005C","329995"
"E07000039","South Derbyshire","E01019871","South Derbyshire 011E","179950"
"E07000039","South Derbyshire","E01019870","South Derbyshire 011D","231995"
"E07000039","South Derbyshire","E01019872","South Derbyshire 011F","229000"
"E07000039","South Derbyshire","E01019874","South Derbyshire 003B","156000"
"E07000039","South Derbyshire","E01019873","South Derbyshire 003A","175000"
"E07000039","South Derbyshire","E01019875","South Derbyshire 003C","180000"
"E07000039","South Derbyshire","E01019879","South Derbyshire 009D","204750"
"E07000039","South Derbyshire","E01019878","South Derbyshire 009C","142475"
"E07000039","South Derbyshire","E01019876","South Derbyshire 009A","150500"
"E07000039","South Derbyshire","E01019877","South Derbyshire 009B","156500"
"E07000039","South Derbyshire","E01019881","South Derbyshire 003D","225000"
"E07000039","South Derbyshire","E01019882","South Derbyshire 003E","257495"
"E07000039","South Derbyshire","E01019880","South Derbyshire 005D","201000"
"E07000039","South Derbyshire","E01033536","South Derbyshire 012D","125000"
"E07000039","South Derbyshire","E01033535","South Derbyshire 013D","177500"
"E07000039","South Derbyshire","E01019885","South Derbyshire 013C","147750"
"E07000039","South Derbyshire","E01019883","South Derbyshire 013B","156000"
"E07000039","South Derbyshire","E01033531","South Derbyshire 012C","180995"
"E07000039","South Derbyshire","E01033532","South Derbyshire 002F","190000"
"E07000039","South Derbyshire","E01033534","South Derbyshire 002H","135500"
